Brand,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
ASUS,Intel Core i5-10300H,NVIDIA GTX 1650,12GB,15.6 Inches,1920 x 1080,512GB SSD,Windows 10 Pro,None,949
MSI,Intel Core i5-12450H,NVIDIA GeForce RTX 4060,8GB GDDR6,15.6 Inches,1920x1080,512GB SSD,Windows 11 Home,None,999
HP,Intel Core i7 12th Gen 1255U (1.70GHz),Intel Iris Xe Graphics,16GB,14.0 Inches,1920 x 1080,512GB PCIe SSD,Windows 10 Pro (available through DG rights from Windows 11 Pro),3.03 lbs.,819.99
Acer,AMD Ryzen 3 3350U,Vega 3,4GB,15.6 Inches,1920 x 1080,512GB NVMe SSD,Windows 10 Pro,3.97 lbs,514.99
Lenovo,Intel Core i7-1355U,Intel Iris Xe,16GB,16 Inches,1920x1200,1TB PCIe SSD,Windows 11 Home,None,1049.99
Lenovo,AMD Ryzen 7 5700U,Vega 8,24GB,14 Inches,1920 x 1080,4TB NVMe SSD,Windows 10 Pro,3 - 3.9 lbs.,1494.99
MSI,Intel Core i7 11th Gen 1195G7 (2.90 GHz),Intel Iris Xe Graphics,16 GB,13.4 Inches,,512 GB SSD,Windows 10 Home,2.98 lbs.,1258.99
ASUS,Intel Core i5-10300H,NVIDIA GTX 1650,12GB,15.6 Inches,1920 x 1080,512GB SSD,Windows 10 Pro,None,1114
ASUS,Intel Core i7-1165G7,Intel Iris Xe,16GB,13.9 Inches,3.3K (3300 x 2000),2TB PCIe SSD,Windows 10 Pro,None,1699.99
ASUS,Intel i7-12650H,NVIDIA GeForce RTX 3070 Ti,32GB,16 Inches,1920 x 1080,1TB SSD,Windows 11 Home,5.07 lbs.,1839.99
HP,AMD A4-9120C (1.60 GHz) ,AMD Radeon R4 Series ,4 GB ,14.0 Inches,1366 x 768,32 GB eMMC ,Chrome OS,None,319.27
Lenovo,Intel Core i7-1355U,Intel Iris Xe,16GB,16 Inches,1920 x 1200,1TB PCIe SSD,Windows 11 Home,None,1099.99
HP,Intel Core i5,NVIDIA GeForce RTX 3050,8GB,16.1 Inches,1920 x 1080,256GB SSD,Windows 10 Home,None,949
Lenovo,Intel Core i7-1185G7,Intel Iris Xe,32GB,14.0 Inches,1920 x 1200,1TB SSD,Windows 11 Pro,None,1629
Lenovo,Intel Core i5-1135G7,Intel UHD Graphics,32GB,14 Inches,1920 x 1080,1TB SSD,Windows 11 Pro,None,1009
HP,Intel Core i5-1235U,Intel HD Graphics,32GB,17.3 Inches,1600 x 900,1TB SSD,Windows 10 Pro,None,699.79
ASUS,AMD Ryzen 7 5700U,NVIDIA MX450,8GB,15.6 Inches,1920 x 1080,256GB SSD,Windows 11 Home,None,599.99
ASUS,Intel Core i7-1165G7,Intel Iris Xe,16GB,13.9 Inches,3.3K (3300 x 2000),2TB PCIe SSD,Windows 11 Pro,None,1699.99
MSI,Intel Core i9-13980HX,GeForce RTX 4080,64GB DDR5 SODIMM,17.0 Inches,2560 x 1600,2TB SSD,Windows 11 Pro,None,4089.99
Lenovo,Intel Core i3-1115G4,Intel UHD Graphics,8GB,15.6 Inches,1920 x 1080,256GB SSD,Windows 10 Home,3.75 lbs,419.73
Lenovo,Intel Core i5-1135G7,Intel UHD Graphics,32GB,14 Inches,1920 x 1080,1TB SSD,Windows 10 Pro,None,1009
Lenovo,Intel Core i7-1335U Processor,Intel Iris Xe Graphics,16GB DDR5 RAM,16 Inches,1920 x 1200,1TB SSD,Windows 11 Home,None,979.99
HP,AMD Ryzen 5 7535HS,NVIDIA GeForce RTX 2050,32 GB,15.6 Inches,1920 x 1080,1 TB PCIe NVMe M.2 SSD,Windows 10 Pro,None,859
Dell,AMD Ryzen 7 5700U,AMD Radeon Graphics,32GB,15.6 Inches,1920 x 1080,2TB SSD,Windows 11 Pro,4,799
Lenovo,Intel Core i7-1165G7,Intel Iris Xe Graphics,16GB,13.3 Inches,1920 x 1080,512GB SSD,Windows 11 Pro,None,789
Lenovo,Intel Core i5-1135G7,Intel Iris Xe Graphics,8GB,14 Inches,1920 x 1080,256GB SSD,Windows 10 Pro,None,919
HP,AMD Ryzen 5 16 GB memory; 512 GB SSD,,,,,,,3.8400 lb,549
HP,AMD Ryzen 5 16 GB memory,Integrated: AMD Radeon Graphics,16 GB DDR4-3200 MHz RAM (2 x 8 GB),"14"" diagonal, FHD (1920 x 1080), IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC",,,,None,649
Lenovo,Intel Core i3-1115G4,Intel UHD Graphics,8GB,14 Inches,1920 x 1080,128 GB SSD,Windows 11 S,None,369
Lenovo,Intel Core i3-1215U,Intel UHD Graphics,8GB,14 Inches,1920 x 1080,256GB SSD,Windows 11 S,None,479
ASUS,Intel Core m3-8100Y,Intel UHD Graphics 615,4GB,14 Inches,1920 x 1080,64GB eMMC Flash Memory,Chrome OS,None,279.99
Lenovo,Intel Core i5-1135G7,Intel UHD Graphics,16GB,14 Inches,1920 x 1080,512GB SSD,Windows 11 Pro,None,929
Lenovo,Intel Core i5-1135G7,Intel UHD Graphics,16GB,14 Inches,1920 x 1080,256GB SSD,Windows 10 Pro,None,829
Lenovo,Intel Core i5-1135G7,Intel Iris Xe Graphics,32GB,14 Inches,1920 x 1080,1TB SSD,Windows 10 Pro,None,779
Lenovo,Intel Core i5-1135G7,Intel UHD Graphics,16GB,14 Inches,1920 x 1080,512GB SSD,Windows 10 Pro,None,929
Lenovo,AMD Ryzen 7 4700U,AMD Radeon Graphics,8GB,14 Inches,1920 x 1080,512GB SSD,Windows 10 Home,3 - 3.9 lbs.,549.99
Lenovo,Intel Core i7-12700H,Intel ARC A370M,32GB,16.0 Inches,2560 x 1600,1TB PCIe SSD,Windows 10 Pro,None,1419.99
Lenovo,Intel Core i7-12700H,Intel ARC A370M,32GB,16.0 Inches,2560 x 1600,1TB PCIe SSD,Windows 10 Pro,None,1419.99
Lenovo,Intel Core i7-1185G7 vPro,Intel Iris Xe Graphics,32GB,14 Inches,1920 x 1200,1TB SSD,Windows 11 Pro,None,1889
ASUS,Intel Core i7-1165G7,Intel Iris Xe,16GB,13.9 Inches,3300 x 2200,2TB PCIe NVMe SSD,Windows 10 Pro,None,1859.99
ASUS,Intel Core i7-1165G7,Intel Iris Xe,16GB,13.9 Inches,3300 x 2200,2TB PCIe NVMe SSD,Windows 11 Pro,None,1859.99
Lenovo,Intel Core i3-1115G4,Intel UHD Graphics,12GB,15.6 Inches,1920 x 1080,256GB SSD,Windows 11 Home,None,405
MSI,Intel Core i7-1255U,Intel Arc A370M,16GB,15.6 Inches,1920 x 1080,1TB SSD,Windows 11 Pro,3 - 3.9 lbs.,849.99
HP,AMD Ryzen 7 7000 Series 7840HS (3.80GHz),NVIDIA GeForce RTX 4060,16 GB,16.1 Inches,1920 x 1080,1 TB PCIe SSD,Windows 11 Home,5.15 lbs.,999.99
Lenovo,Intel Core i3-1215U,Intel UHD Graphics,8GB,15.6 Inches,1920x1080,512GB SSD,Windows 11,None,469
Microsoft,Intel Core i7 11th Gen 1185G7 (3.00GHz),Intel Iris Xe Graphics,32 GB,13.5 Inches,2256 x 1504,1 TB SSD,Windows 10 Home,2.84 lbs.,1659.99
Dell,Intel Core i5 11th Gen i5-1140G7 Quad-core (4 Core) 1.80 GHz,Intel Iris Xe Graphics,8 GB,13.3 Inches,1920 x 1080,256 GB SSD,Windows 10 Pro,None,621.97
Dell,Intel Core i3-1115G4,Intel UHD Graphics,16 GB,15.6 Inches,1920 x 1080,512 GB SSD,Windows 11 Pro,None,829
Lenovo,12th Gen Intel Core i7-1270P,Intel Iris Xe Graphics,16GB,16 Inches,1920 x 1200,512GB SSD,Windows 11 Pro,None,1259
ASUS,Intel Core i9-12900H,NVIDIA GeForce RTX 3050 Ti,16GB,13.4 Inches,1920 x 1200,1TB SSD,Windows 11 Home,None,1079.99
HP,AMD A4-9120C (1.60 GHz) ,AMD Radeon R4 Series ,4 GB ,14.0 Inches,1366 x 768,32 GB eMMC ,Chrome OS,None,288
ASUS,AMD Ryzen 7 7735HS,AMD Radeon RX7600S V8G,16GB,16 Inches,1920 x 1080,512GB PCIe SSD,Windows 11 Home,None,919.99
ASUS,AMD Ryzen 7 5800H,NVIDIA GeForce RTX 3050 Ti,16GB,16 Inches,1920 x 1200,1TB SSD,Windows 11 Home,4.30 lbs. w/ battery,1549
Lenovo,Intel Core i7-1260P,Intel Iris Xe Graphics,40GB,16 Inches,1920 x 1200,1TB SSD,Windows 10 Pro,None,1329
ASUS,Intel 10th Generation Core i7-10750H,NVIDIA GeForce GTX 1650 Ti,32GB,15.6 Inches,1920 x 1080,512GB Solid State Drive,Windows 10 Home,None,849.99
HP,Intel Core i5-1135G7,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080,512 GB PCIe NVMe M.2 SSD,Windows 10 Pro,None,709
HP,"Intel Core i7 16 GB memory; 512Processor: Intel® Core i7-1355U (up to 5.0 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads) Memory: 16 GB DDR4-3200 MHz RAM (1 x 16 GB) Graphics: Integrated: Intel® UHD Graphics Display: 14"" diagonal, FHD (1920 x 1080), IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC",,,,,,,3.0300 lb,2054
HP,Intel Core i5-1135G7,Intel HD Graphics 620,12GB,15.6 Inches,1366 x 768,1TB SSD,Windows 11 Home,3 - 3.9 lbs.,605
Lenovo,Intel Core i7 11th Gen i7-1185G7 Quad-core (4 Core) 3 GHz,Intel HD Graphics,16 GB,14 Inches,1920 x 1080,512 GB SSD,Windows 10 Pro,None,1499.99
HP,Intel Core i5 12th Gen 1235U (1.30GHz),Intel Iris Xe Graphics,16GB,14.0 Inches,1920 x 1080,256GB PCIe SSD,Windows 10 Pro,3.03 lbs.,793.99
HP,AMD Ryzen 7 5825U,AMD Radeon Graphics,32GB,15.6 Inches,1920 x 1080,1TB SSD,Windows 11 Pro,3 - 3.9 lbs.,839
Dell,Core i7 - 512GB SSD - 16GB RAM - RTX 3050,Nvidia GeForce RTX 3050,16GB,15.6 Inches,1920x1200,512GB PCIe NVMe M.2 SSD,Windows 11 Pro (XPS9520Laptop),None,1792
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920x1080,512GB SSD,Windows 11 Home,None,1049.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920x1080,512GB SSD,Windows 11 Home,None,1089.99
Lenovo,Intel Core i7-1185G7,NVIDIA T500,24GB,14.0 Inches,1920 x 1080,512GB PCIe NVMe SSD,Windows 11 Pro,None,1039.99
HP,Intel Core i3-1215U,Intel UHD Graphics,8 GB,15.6 Inches,1920 x 1080,128 GB SSD,Windows 11 Home,None,379.99
MSI,Intel Core i5-10500H,NVIDIA GTX 1650 [Max-Q],32GB,15.6 Inches,1920 x 1080,1TB PCIe SSD,Windows 10 Home,None,747.79
Lenovo,Intel Core i7 11th Gen i7-1165G7 Quad-core (4 Core) 2.80 GHz,Intel HD Graphics,16 GB,14 Inches,1920 x 1080,512 GB SSD,Windows 10 Pro,None,1499.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920x1080,512GB SSD,Windows 11 Home,None,1134.99
Acer,Intel Celeron N5100 (1.10GHz),Intel UHD Graphics,4GB,13.3 Inches,1366 x 768,128 GB SSD,Windows 11 Pro Education,"11.6"" x 8.5"" x 0.82""",359.55
Lenovo,Intel Core i5-1135G7,Intel Iris Xe Graphics,32GB,14 Inches,1920 x 1080,1TB SSD,Windows 10 Pro,None,1399
HP,Intel Core i5-1035G1,Intel UHD Graphics,8GB,15.6 Inches,1920 x 1080,256 GB SSD,Windows 10,None,549.99
Lenovo,Intel Core i7-1185G7,Intel Iris Xe,32GB,14.0 Inches,1920 x 1200,1TB PCIe NVMe SSD,Windows 11 Pro,None,1764
HP,Intel Core i7 11th Gen 11390H (3.40GHz),Intel Iris Xe Graphics,16GB,16 Inches,3072 x 1920,512GB PCIe SSD,Windows 11 Home,4.43 lbs.,1399.99
HP,AMD Ryzen 7 7730U,AMD Radeon Graphics,32GB,15.6 Inches,1920 x 1080,1TB SSD,Windows 11 Home,3.86 lbs.,1029
ASUS,Intel Core i9-12900H,GeForce RTX 3080 Ti,32GB DDR5,15.6 Inches,2560 x 1440,1TB SSD,Windows 11 Pro,None,3564
MSI,Intel Core i5 12th Gen 1240P (1.70GHz),Intel Iris Xe Graphics,8GB,14 Inches,1920 x 1080,512GB SSD,Windows 11 Home,3.60 lbs.,549.99
MSI,Intel Core i9-13980HX,GeForce RTX 4080,64GB DDR5 SODIMM,"17.0"" Wide QXGA (2560x1600) 240Hz Refresh Rate IPS-level Display",,2x2TB PCIe NVMe RAID 1 (2TB available storage),Windows 11 Pro-64,None,4339.99
HP,AMD Ryzen 5 5500U,AMD Radeon Graphics,8GB,17.3 Inches,1920 x 1080,256GB SSD,Windows 10 Home,None,429.99
Dell,Intel Core i3-1115G4,Intel UHD Graphics,16 GB,15.6 Inches,1920 x 1080,1 TB SSD,Windows 11 Pro,None,869
Lenovo,Intel Core i5-1035G1,Intel UHD Graphics,12GB,14 Inches,1920 x 1080,512GB SSD,Windows 10,None,599.79
HP,"AMD Ryzen 5 7530U Processor (6 Cores, 12 Threads, 16MB L3 Cache, Base Frequency at 2.0GHz, Up to 4.5GHz at Max Turbo Frequency), with AMD Radeon Graphics",  AMD Radeon Graphics,16GB,"15.6"" diagonal, HD (1366 x 768) Touchscreen, micro-edge, BrightView, 250 nits",,,,3.52 lbs.,729
Lenovo,Intel Core i5-10210U,Intel HD Graphics 620,8GB,14.0 Inches,1920 x 1080,512GB SSD,Windows 11 Home,None,437.79
Lenovo,AMD Ryzen 7 5700U Octa-core (8 Core) 1.80 GHz,AMD Radeon Graphics,16 GB,14 Inches,1920 x 1080,512 GB SSD,Windows 11 Home,None,859
HP,Intel Core i5-1135G7,Intel Iris Xe Graphics,32 GB,15.6 Inches,1920 x 1080,1 TB PCIe NVMe M.2 SSD,Windows 10 Pro,None,809
HP,AMD Ryzen 3 5425U Processor,AMD Radeon Graphics,32GB DDR4 SDRAM,15.6 Inches,1920 x 1080,1TB PCIe NVMe M.2 SSD,Windows 11 Pro,3.84 lbs.,649
MSI,Intel Core i9-13980HX,GeForce RTX 4080,64GB DDR5 SODIMM,"17.0"" Wide QXGA (2560x1600) 240Hz Refresh Rate IPS-level Display",,2x2TB PCIe NVMe RAID 0 (4TB available storage),Windows 11 Pro-64,None,4339.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920x1080,512GB SSD,Windows 11 Home,None,1209.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920 x 1080,512GB SSD,Windows 11 Home,None,1214.99
HP,"Intel Core i7 16 GB memory; 512Processor: Intel® Core i7-1355U (up to 5.0 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads) Memory: 16 GB DDR4-3200 MHz RAM (1 x 16 GB) Graphics: Integrated: Intel® UHD Graphics Display: 14"" diagonal, FHD (1920 x 1080), touch, IPS, narrow bezel, 250 nits, 45% NTSC",,,,,,,3.0300 lb,2113
Acer,Intel Pentium Silver N6000 Quad-core (4 Core) 1.10 GHz,Intel UHD Graphics,8 GB,14 Inches,1920 x 1080,64 GB Flash Memory,Chrome OS,None,389.61
Samsung,Intel Celeron 3965Y,Intel 615 Graphics,4GB,12.2 Inches,1920 x 1200,64GB eMMC,Chrome OS,None,399
ASUS,Intel Core i9-13900H,NVIDIA Geforce RTX 3050,16GB,16 Inches,1920 x 1200,1TB SSD,Windows 11 Home,None,1184
Dell,Intel Core i5-1135G7,Intel HD Graphics,12GB,15.6 Inches,1920 x 1080,256GB SSD,Windows 10 Pro,4 - 4.9 lbs.,542.49
Lenovo,12th Gen Intel Core i7-1270P,Intel Iris Xe Graphics,40GB,16 Inches,1920x1200,1TB SSD,Windows 11 Pro,None,1519
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920x1080,1TB PCIe SSD,Windows 11 Home,None,1239.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920 x 1080,1TB PCIe SSD,Windows 11 Home,None,1284.99
Lenovo,Intel Core i5-1135G7,NVIDIA MX450,8GB,15.6 Inches,1920 x 1080,512GB SSD,Windows 10 Home,None,994.99
ASUS,AMD Ryzen 9 6900HS,GeForce RTX 3050 Ti,16GB,13.4 Inches,1920 x 1200,1TB PCIe SSD,Windows 10 Pro,None,1600
ASUS,Intel i9-13980HX,NVIDIA GeForce RTX 4070,64 GB DDR5,18.5 Inches,2560 x 1600,2 TB PCIe NVMe SSD,Windows 11 Home,6.61 lbs,2699
ASUS,Intel i9-13980HX,NVIDIA GeForce RTX 4080,16 GB,18 Inches,2560 x 1600,1 TB PCIe SSD,Windows 11 Home,None,2599
Lenovo,AMD Ryzen 9 6900HS,  AMD Radeon Graphics,32GB,14.5 Inches,3072 x 1920,1TB SSD,Windows 10 Home,None,1399.99
HP,"AMD Ryzen 7 7730U (up to 4.5 GHz max boost clock, 16 MB L3 cache, 8 cores, 16 threads)",,,,,,,3.8600 lb,999
HP,"AMD Ryzen 5 7530U Processor (6 Cores, 12 Threads, 16MB L3 Cache, Base Frequency at 2.0GHz, Up to 4.5GHz at Max Turbo Frequency), with AMD Radeon Graphics",  AMD Radeon Graphics,16GB,"15.6"" diagonal, HD (1366 x 768) Touchscreen, micro-edge, BrightView, 250 nits",,,,3.52 lbs.,729
Lenovo,Intel Core i7-1185G7 vPro,Intel Iris Xe Graphics,32GB,14 Inches,1920 x 1200,2TB PCIe SSD,Windows 11 Pro 64-bit,None,1999.99
HP,AMD Ryzen 3 5425U Processor,AMD Radeon Graphics,12GB DDR4 SDRAM,15.6 Inches,1920 x 1080,512GB PCIe NVMe M.2 SSD,Windows 11 Home,3.84 lbs.,509
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920x1080,512GB PCIe NVMe SSD,Windows 11 Pro,None,1269.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920x1080,512GB PCIe NVMe SSD,Windows 10 Pro,None,1269.99
Lenovo,Intel Core i3-10110U,Intel UHD Graphics,20GB,15.6 Inches,1920 x 1080,512GB SSD,Windows 10,4,539.79
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920x1080,1TB PCIe SSD,Windows 11 Home,None,1199.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920x1080,2TB PCIe SSD,Windows 11 Home,None,1299.99
Lenovo,Intel Core i5-1035G1,Intel UHD Graphics,8GB,14 Inches,1920 x 1080,256GB SSD,Windows 10,None,549.79
HP,AMD Ryzen 5 5500U,AMD Radeon Graphics,16GB,15.6 Inches,1920 x 1080,512GB SSD,Windows 11 Home,None,429.99
ASUS,Intel Core i7-12700H,NVIDIA GeForce RTX 4070,32GB DDR4 RAM,15.6 Inches,1920x1080,1TB PCIe SSD,Windows 11 Home,4 - 4.9 lbs.,1369.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920x1080,512GB PCIe NVMe SSD,Windows 10 Pro,None,1309.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920x1080,512GB PCIe NVMe SSD,Windows 11 Pro,None,1309.99
Lenovo,Intel Core i5-10210U,Intel UHD Graphics,20GB,14.0 Inches,1920 x 1080,1TB PCIe SSD,Windows 10 Pro,None,617.69
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920x1080,1TB PCIe SSD,Windows 11 Pro,None,1319.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920x1080,1TB PCIe SSD,Windows 10 Pro,None,1319.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920x1080,2TB PCIe SSD,Windows 11 Home,None,1339.99
MSI,Intel Core i5-10300H,NVIDIA GeForce GTX 1650,8GB,15.6 Inches,1920 x 1080,256GB NVMe SSD,Windows 10 Home,4 - 4.9 lbs.,668.79
ASUS,AMD Ryzen 9 6900HS,GeForce RTX 3050 Ti,16GB,13.4 Inches,1920 x 1200,1TB PCIe NVMe SSD,Windows 11 Pro,None,1449.99
Dell,Intel Core i3-1115G4,Intel HD Graphics,8GB,15.6 Inches,1920 x 1080,256GB NVMe SSD,Windows 10 Pro,4 - 4.9 lbs.,493.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920 x 1080,1TB PCIe SSD,Windows 11 Home,None,1359.99
Dell,Intel Core i5 12th Gen i5-1235U Deca-core (10 Core) 1.30 GHz,Intel Iris Xe Graphics,16 GB,14 Inches,1920 x 1080,256 GB SSD,Windows 11 Pro,None,819.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920 x 1080,512GB PCIe NVMe SSD,Windows 11 Pro,None,1354.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920 x 1080,512GB PCIe NVMe SSD,Windows 10 Pro,None,1354.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920x1080,1TB PCIe SSD,Windows 10 Pro,None,1359.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920x1080,1TB PCIe SSD,Windows 11 Pro,None,1359.99
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920 x 1080,2TB PCIe SSD,Windows 11 Home,None,1384.99
Lenovo,AMD Ryzen 7 5700U,AMD Radeon Graphics,8 GB,14 Inches,1920 x 1080,256 GB SSD,Windows 10 Pro,None,779
MSI,Intel Core i7-1255U,Intel Iris Xe,16GB,15.6 Inches,1920 x 1080,1TB PCIe SSD,Windows 11 Pro,None,1404.99
