Brand,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
Lenovo,Intel Core i7-1355U,Intel Iris Plus Graphics 640,16GB,14 Inches,1920 x 1080,512GB SSD,Windows 10 Home,None,964
HP,AMD Ryzen 5 7535HS,NVIDIA GeForce RTX 2050,16GB,15.6 Inches,1920 x 1080,512 GB PCIe NVMe M.2 SSD,Windows 10 Home,None,729
Dell,AMD Ryzen 5 12GB RAM,AMD Radeon Vega 8,512 GB SSD,15.6 Inches,1920 x 1080 (Full HD),512 GB SSD,Windows 10 Home,None,669
Lenovo,Intel Core i7-1355U,Intel UHD Graphics,16GB,16 Inches,1920 x 1200,512GB PCIe NVMe SSD,Windows 11 Pro,None,1404.99
Lenovo,AMD Ryzen 7 5700U,Vega 8,24GB,14 Inches,1920 x 1080,2TB NVMe SSD,Windows 10 Pro,3 - 3.9 lbs.,1199.95
HP,Intel Core i5-1135G7,Intel Iris Xe Graphics,8GB,15.6 Inches,1920 x 1080,512 GB SSD,Windows 11,None,537.79
HP,Intel Core i3-1215U,Intel HD Graphics 620,8GB,14 Inches,1080p,1TB SSD,Windows 11,None,429.99
HP,Intel Core i5-1135G7,Intel HD Graphics,16GB,17.3 Inches,1920 x 1080,256GB NVMe SSD,Windows 11 Home,5 - 5.9 lbs.,699.99
ASUS,Intel Core i7-12650H,NVIDIA RTX 3070,16GB DDR5,15.6 Inches,1920 x 1080,512GB SSD,Windows 11 Home,None,1614
Lenovo,Celeron N4020,Intel HD Graphics,4GB,14.0 Inches,1920 x 1080,64GB eMMC,Windows 10 Home,1.00 lbs,168.99
Dell,AMD Ryzen 5 16GB RAM,AMD Radeon Vega 8,16GB,15.6 Inches,1920 x 1080 (Full HD),1TB SSD,Windows 10 Pro,None,859
ASUS,Intel Core i7-9750H,GeForce GTX 1650,8 GB,15.6 Inches,1920 x 1080,512 GB PCIe NVMe SSD,Windows 10 Home,4.85 lbs.,1154.99
MSI,Intel Core i7,NVIDIA GeForce RTX 4060,8GB,15.6 Inches,144hz,512GB SSD,Windows 10 Home,None,1049.99
SAMSUNG,Intel Celeron N3060 (1.60 GHz) ,Intel HD Graphics 400,4 GB,11.6 Inches,1366 x 768,16 GB eMMC,Chrome OS,None,283
Microsoft,Intel Core i7 11th Gen i7-1185G7 Quad-core (4 Core) 3 GHz,Intel Iris Xe Graphics PixelSense,16 GB,13.5 Inches,,512 GB SSD,Windows 11 Home,None,1599.99
Acer,Intel N100 Quad-core (4 Core) 800 MHz,Intel UHD Graphics,8GB,11.6 Inches,1920 x 1200,64 GB Flash Memory,Chrome OS,None,299.95
ASUS,Intel Core i7-1165G7,Intel Iris Xe,16GB,13.9 Inches,3300 x 2200,2TB PCIe NVMe SSD,Windows 10 Pro,None,1784.99
ASUS,Intel Core i7-1165G7,Intel Iris Xe,16GB,13.9 Inches,3300 x 2200,2TB PCIe NVMe SSD,Windows 11 Pro,None,1784.99
Lenovo,AMD Ryzen 7 5700U,AMD Radeon Graphics,16GB,14.0 Inches,2240 x 1400,512GB SSD,Windows 11 Home,None,699.99
Dell,Intel Core i7-1165G7,NVIDIA GeForce MX450,16GB,14 Inches,1920 x 1080,512GB SSD,Windows 11 Pro,3.36 lbs.,1119
Lenovo,Intel Core i5-8GB Memory 1024GB HDD,,,17 Inches,1920 x 1080,1TB HDD,Windows 10 Home,None,599.75
Lenovo,Intel i7-1270P,Intel Iris Xe,16GB,14.0 Inches,2240 x 1400,512GB SSD,Windows 10 Pro,None,1594.99
Microsoft,Intel Core i5 11th Gen 1135G7 (2.40GHz),Intel Iris Xe Graphics,16 GB,13.5 Inches,2256 x 1504,512 GB SSD,Windows 10 Home,2.84 lbs.,989.99
HP,Intel Core i5 11th Gen i5-1145G7 Quad-core (4 Core),Intel HD Graphics,16 GB,15.6 Inches,1920 x 1080,256 GB SSD,Windows 10 Home,None,1159
ASUS,AMD Ryzen 5 - AMD Radeon Graphics,,8GB,15.6 Inches,1920 x 1080,512GB M.2 NVMe PCIe 3.0 SSD,Windows 11,None,649.99
HP,AMD A4-9120 (2.20GHz),AMD Radeon R3 Series,4GB,14.0 Inches,1366 x 768,32 GB eMMC SSD,Chrome OS,None,249.99
ASUS,Intel i7-13650HX,GeForce RTX 4050,32GB DDR5 SODIMM,16.0 Inches,1920x1200,1TB PCIe NVMe SSD RAID 1,Windows 11 Home,None,2104.99
ASUS,Intel i7-13650HX,GeForce RTX 4050,32GB DDR5 SODIMM,16.0 Inches,1920x1200,2TB PCIe NVMe SSD RAID 0,Windows 11 Home,None,2104.99
HP,Intel Celeron N4120,Intel UHD Graphics 600,4GB,14.0 Inches,1366 x 768,64GB eMMC,Chrome OS,None,219.99
ASUS,Intel Core i7-13650HX,GeForce RTX 4050 6GB GDDR6 Dual (Integrated+Dedicated) Graphics,32GB DDR5 SODIMM,16.0 Inches,1920x1200,2x1TB PCIe NVMe SSD RAID 1 (1TB available storage),Windows 11 Home,None,2019.99
ASUS,Intel Core i7-13650HX,GeForce RTX 4050 6GB GDDR6 Dual (Integrated+Dedicated) Graphics,32GB DDR5 SODIMM,16.0 Inches,1920x1200,2x1TB PCIe NVMe RAID 0 (2TB available storage),Windows 11 Home,None,2019.99
HP,Intel Core i5-1155G7 (2.50GHz),Intel Iris Xe Graphics,12GB,17.3 Inches,1920 x 1080,512GB SSD,Windows 11 Home,4 - 4.9 lbs.,686
Lenovo,Intel Core i3-1215U,Intel UHD Graphics,16GB,15.6 Inches,1920x1080,1TB SSD,Windows 11,None,539
HP,AMD 3020e,AMD Radeon Graphics,4 GB,14 Inches,1920 x 1200,64 GB eMMC,Windows 10 Home,None,267.99
Microsoft,Intel Core i5 11th Gen 1135G7 (2.40GHz),Intel Iris Xe Graphics,16 GB,13.5 Inches,2256 x 1504,512 GB SSD,Windows 10 Home,2.79 lbs.,979.99
