Brand,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
Lenovo,AMD Ryzen 7 7000 Series 7730U (2.00GHz),AMD Radeon Graphics,16GB,16 Inches,1920 x 1200,512GB SSD,Windows 11 Home,4.17 lbs.,619.99
Microsoft,Intel Core i7,Intel Iris Plus Graphics,16GB,14.4 Inches,1920 x 1080,512GB SSD,Windows 10 Home,,2097.99
ASUS,Intel Core i9-13900H,NVIDIA GeForce RTX 4060,16GB,16 Inches,1920 x 1200,512GB SSD,Windows 11 Home,,1299.99
HP,Intel Core i5 i5-1235U,Intel Iris Xe Graphics,16 GB,14 Inches,1920 x 1080,256 GB SSD,Windows 10 Pro,,599.99
ASUS,AMD Ryzen 5 5600H,  AMD Radeon Graphics,16GB,15.6 Inches,1920 x 1080,512GB SSD,Windows 11 Home,3.75 lbs.,529.99
HP,Intel Core i3-1115G4,Intel UHD Graphics,16GB,15.6 Inches,1366 x 768,512GB PCIe NVMe SSD,Windows 11 Home,,446.0
LG,Intel Core i5-1340P (2.7GHz),Intel HD Graphics 620,8 GB,14 Inches,1920 x 1080,512 GB SSD,Windows 11 Pro,,894.99
ASUS,Intel Core i5-12500H,Intel Iris Xe Graphics,16GB,15.6 Inches,1920 x 1080,512GB SSD,Windows 11 Home,3.75 lbs.,579.99
LG,Intel Core i7 12th Gen 1260P (2.10GHz),Intel Iris Xe Graphics,16GB,16 Inches,2560 x 1600,1TB PCIe SSD,Windows 11 Pro,2.65 lbs.,1249.99
ASUS,Intel Core i5 13th Gen 13500H (2.60GHz),NVIDIA GeForce RTX 2050,8GB,14.0 Inches,1920 x 1200,512GB M.2 NVMe PCIe 3.0 SSD,Windows 11 Home,,699.99
ASUS,Intel Core i5-13500H,Intel UHD Graphics,8GB,16 Inches,1920 x 1200,512GB SSD,Windows 11 Home,4.14 lbs.,629.0
Microsoft,Intel Core i3 10100Y (1.3GHz),Intel UHD Graphics 615,8 GB,10.5 Inches,1920 x 1280,128 GB SSD,Windows 11 Pro,,689.99
ASUS,Intel Core i7-13700H CPU,NVIDIA GeForce RTX 4050 GPU,16GB,16 Inches,1920 x 1200,1TB SSD,Windows 11 Home,4.25 lbs.,1199.99
ASUS,Intel Core i5-1340P (1.9GHz),Intel Iris Xe Graphics,16GB,14 Inches,2880 x 1800,512GB SSD,Windows 11 Home,,999.99
MSI,Intel Core i5-1240P,Intel Iris Xe Graphics,16GB,13.3 Inches,1920 x 1200,512GB SSD,Windows 11 Home,2.18 lbs.,838.88
Lenovo,Intel Core i5-1235U (Deca-Core) 3.3GHz,Intel Iris Xe Graphics,8 GB,15.6 Inches,1920 x 1080,256 GB SSD,Windows 11 Home,,539.99
ASUS,AMD Ryzen 7 7735U CPU,  AMD Radeon Graphics,16GB,15.6 Inches,1920 x 1080,512GB SSD,Windows 11 Home,3.53 lbs.,979.99
ASUS,Intel Core i7-13700H CPU,Intel Iris Xe Graphics,16GB,16 Inches,1920 x 1200,1TB SSD,Windows 11 Home,4.14 lbs.,834.99
ASUS,Intel Core i9-13980HX,NVIDIA GeForce RTX 4070,16GB,16 Inches,2560 x 1600,1TB SSD,Windows 11 Home,4.19 lbs.,1959.99
ASUS,AMD Ryzen 5 7530U,AMD Radeon Vega 7 Graphics,8GB,16 Inches,1920 x 1200,512GB SSD,Windows 11 Home,,699.99
LG,Intel Core i5 -1340P,Intel UHD Graphics,8GB,17.0 Inches,2560 x 1600,512GB NVME Gen4 SSD,Windows 11 Pro,,1049.99
LG,AMD Ryzen 5 5625U,AMD Radeon Graphics,8GB,14.0 Inches,1920 x 1200,512 GB SSD,Windows 11 Pro,,639.99
ASUS,AMD Ryzen 7 7730U CPU,  AMD Radeon Graphics,16GB,16 Inches,1920 x 1200,1TB SSD,Windows 11 Home,4.14 lbs.,735.99
HP,Intel Core i7 12th Gen 1265U (1.80GHz),Intel Iris Xe Graphics,16GB,14.0 Inches,1920 x 1080,512GB PCIe SSD,Windows 10 Pro (available through downgrade rights from Windows 11 Pro),3.03 lbs.,749.95
Samsung,Intel Core i5 13th Gen i5-1340P (1.90GHz),Intel Iris Xe Graphics,16 GB,14 Inches,2880 x 1800,512 GB SSD,Windows 11 Pro,,1308.99
