Brand,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
HP,"Intel Core i5-1135G7 (Base 2.4 GHz, up to 4.2 GHz, 8 MB L3 cache, 4 cores) which delivers instant responsiveness and best-in-class connectivity.  ",,,,,,,3 - 3.9 lbs.,669.79
HP,Intel Core i5-1235U,Intel Iris Xe Graphics,8GB,14 Inches,1920 x 1080,512GB PCIe SSD,Windows 11 Pro,3 - 3.9 lbs.,639.79
HP,Intel Core i5-1135G7,Intel Iris Xe Graphics,16GB,"17.3"" HD+ (1600 x 900) Display",1600 x 900,512GB PCIe SSD,Windows 10,5 - 5.9 lbs.,658.79
HP,11th Gen Intel Core i3-1115G4 (Beats i5-8265U),Intel UHD Graphics,16GB,15.6 Inches,1920 x 1080,1TB PCIe SSD,Windows 11 Home,None,499.79
HP,Intel Core i5-1135G7,Intel Iris Xe Graphics,32GB,"17.3"" HD+ (1600 x 900) Display",1600 x 900,1TB PCIe SSD,Windows 10 Pro,5 - 5.9 lbs.,711.79
ASUS,Intel Core i5-1035G1,Intel HD Graphics,20GB,15.6 Inches,1920 x 1080,1024GB SSD,Windows 10,None,609.99
ASUS,AMD Ryzen 9 5900HS,NVIDIA GeForce RTX 3080,16GB,15.6 Inches,3840 x 2160,1TB SSD,Windows 10 Home,None,1995.99
ASUS,Intel Core i5-1035G1,Intel HD Graphics,8GB,15.6 Inches,1920 x 1080,512GB SSD,Windows 10,None,479.99
Lenovo,Intel Core i5-11300H Processor,NVIDIA GeForce RTX 3050,32GB,15.6 Inches,1920 x 1080,1TB SSD,Windows 11 Home,None,849.99
Lenovo,Intel Core i5-10210U,Intel HD Graphics 620,16GB,13.3 Inches,1920 x 1080,2TB NVMe SSD,Windows 10 Pro,3 - 3.9 lbs.,1139.99
HP,Intel 12th Generation Core i3-1215U,Intel UHD Graphics,16GB,15.6 Inches,1366 x 768,256GB PCIe NVMe M.2 SSD,Windows 11 Home,None,438.0
Lenovo,Intel Core i7-1165G7,Intel HD Graphics,20GB,14 Inches,1920 x 1080,512GB NVMe SSD,Windows 11 Pro,3 - 3.9 lbs.,789.99
HP,Intel Core i3-1115G4,Intel UHD Integrated Graphics,8GB,15.6 Inches,1366 x 768,128GB SSD,Windows 10 Home,None,449.79
Lenovo,Intel Core i5-10210U,Intel HD Graphics 620,16GB,13.3 Inches,1920 x 1080,256GB NVMe SSD,Windows 10 Pro,3 - 3.9 lbs.,939.99
Lenovo,Intel Core i5-10210U,Intel HD Graphics 620,16GB,13.3 Inches,1920 x 1080,512GB NVMe SSD,Windows 10 Pro,3 - 3.9 lbs.,969.99
